Line #,Key,en Version,ka Translation
1,ka.activerecord.models.user.one,User,მომხმარებელი
2,ka.activerecord.models.user.other,Users,მომხმარებლები
3,ka.activerecord.models.provider.one,Provider,მომსახურების მიმწოდებელი
4,ka.activerecord.models.provider.other,Providers,მომსახურების მიმწოდებელი
5,ka.activerecord.models.place.one,Organisation,ორგანიზაცია
6,ka.activerecord.models.place.other,Organisations,ორგანიზაციები
7,ka.activerecord.models.service.one,Service,მომსახურება
8,ka.activerecord.models.service.other,Services,მომსახურება
9,ka.activerecord.models.page_content.one,Page Content,გვერდის ინფორმაცია
10,ka.activerecord.models.page_content.other,Page Contents,გვერდის ინფორმაცია
11,ka.activerecord.models.place_invitation.one,Invitation,მოწვევა
12,ka.activerecord.models.place_invitation.other,Invitations,მოწვევა
13,ka.activerecord.models.place_rates.one,rate,შეფასება
14,ka.activerecord.models.place_service.one,Service,მომსახურება
15,ka.activerecord.models.place_service.other,Services,მომსახურება
16,ka.activerecord.models.page_content_item.one,List Item,ჩამონათვალი
17,ka.activerecord.models.page_content_item.other,List Items,ჩამონათვალი
18,ka.activerecord.models.tag.declined,(Declined),(უარყოფა)
19,ka.activerecord.models.resource.one,Resource,რესურსი
20,ka.activerecord.models.resource.other,Topic,თემა
21,ka.activerecord.models.resource_item.one,Chapter,საკითხი
22,ka.activerecord.models.resource_item.other,Chapters,საკითხები
23,ka.activerecord.models.resource_content.one,Resource Content,რესურსის  აღწერა
24,ka.activerecord.models.resource_content.other,Resource Contents,რესურსის აღწერა
25,ka.activerecord.attributes.provider.name,Provider Name,მომსახურების მიმწოდებლის დასახელება
26,ka.activerecord.attributes.provider.description,Provider Description,მოსახურების მიმწოდებლის აღწერა 
27,ka.activerecord.attributes.providers.name,Provider Name,მომსახურების მიმწოდებლის დასახელება
28,ka.activerecord.attributes.providers.description,Provider Description,მომსახურების მიმწოდებლის დასახელება
29,ka.activerecord.attributes.service.name,Service Name,მომსახურების  დასახელება
30,ka.activerecord.attributes.service.description,Service Description,მომსახურების  აღწერა
31,ka.activerecord.attributes.service.icon,Service Icon,მოსახურების სიმბოლო
32,ka.activerecord.attributes.service.color,Service Color,მომსახურების  ფერი
33,ka.activerecord.attributes.service.for_adults,For Adults,ზრდასრულთათვის
34,ka.activerecord.attributes.service.for_children,For Children,ბავშვებისთვის
35,ka.activerecord.attributes.service.parent,Parent Service,ძირითადი მომსახურება 
36,ka.activerecord.attributes.service.sub_services,Services,მომსახურებები
37,ka.activerecord.attributes.service.position,Position,პოზიცია 
38,ka.activerecord.attributes.page_content.title,Title,სათაური
39,ka.activerecord.attributes.page_content.content,Content,შინაარსი
40,ka.activerecord.attributes.user.first_name,First Name,სახელი
41,ka.activerecord.attributes.user.last_name,Last Name,გვარი
42,ka.activerecord.attributes.user.name,Name,სახელი
43,ka.activerecord.attributes.user.password,Password,პაროლი
44,ka.activerecord.attributes.user.username,Username,მომხმარებლის სახელი
45,ka.activerecord.attributes.user.email,Email,ელ.ფოსტა
46,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,პაროლის დადასტურება
47,ka.activerecord.attributes.user.is_service_provider,Publish your organization's services on Sheaghe,გსურთ მომსახურების რეგისტრაცია?
48,ka.activerecord.attributes.user.roles.user,User,მომხმარებელი
49,ka.activerecord.attributes.user.roles.provider,Organisation,ორგანიზაცია
50,ka.activerecord.attributes.user.roles.admin,Admin,ადმინისტრატორი
51,ka.activerecord.attributes.user.providers.one,Organisation,ორგანიზაცია
52,ka.activerecord.attributes.user.providers.other,Organisations,ორგანიზაციები 
53,ka.activerecord.attributes.place.name,Name,სახელი
54,ka.activerecord.attributes.place.director,Director,ხელმძღვანელი
55,ka.activerecord.attributes.place.description,Description,აღწერა
56,ka.activerecord.attributes.place.services,Services,მომსახურებები
57,ka.activerecord.attributes.place.email,Email,ელ.ფოსტა
58,ka.activerecord.attributes.place.phone,Phone,ტელეფონი
59,ka.activerecord.attributes.place.phone2,Phone 2,ტელეფონი 2
60,ka.activerecord.attributes.place.website,Website,ვებ-გვერდი
61,ka.activerecord.attributes.place.facebook,Facebook,Facebook
62,ka.activerecord.attributes.place.address,Address,მისამართი
63,ka.activerecord.attributes.place.city,City,ქალაქი
64,ka.activerecord.attributes.place.postal_code,Postal Code,საფოსტო ინდექსი
65,ka.activerecord.attributes.place.region,Region,რეგიონი
66,ka.activerecord.attributes.place.municipality,Municipality,მუნიციპალიტეტი
67,ka.activerecord.attributes.place.tags,Tags,კატეგორია
68,ka.activerecord.attributes.place.provider,Provider,სერვისის მიმწოდებელი
69,ka.activerecord.attributes.place_invitation.place,Organisation ,ორგანიზაცია
70,ka.activerecord.attributes.place_invitation.user,User,მომხმარებელი
71,ka.activerecord.attributes.place_invitation.sent_by,Sent By,გამომგზავნი
72,ka.activerecord.attributes.place_invitation.has_accepted,Has Accepted?,დადასტურებულია?
73,ka.activerecord.attributes.place_invitation.email,Email,ელ.ფოსტა
74,ka.activerecord.attributes.place_invitation.created_at,Date Sent,გაგზავნის თარიღი
75,ka.activerecord.attributes.place_service.place,Organisation,ორგანიზაცია
76,ka.activerecord.attributes.place_service.service,Service,მომსახურება
