id,Key,en Version,ka Translation,,
,ka.activerecord.models.user.one,User,მომხმარებელი,,
,ka.activerecord.models.user.other,Users,მომხმარებლები,,
,ka.activerecord.models.provider.one,Provider,მომსახურების მიმწოდებელი,,
,ka.activerecord.models.provider.other,Providers,მომსახურების მიმწოდებელი,,
,ka.activerecord.models.place.one,Organisation,ორგანიზაცია,,
,ka.activerecord.models.place.other,Organisations,ორგანიზაციები,,
,ka.activerecord.models.service.one,Service,მომსახურება,,
,ka.activerecord.models.service.other,Services,მომსახურება,,
,ka.activerecord.models.page_content.one,Page Content,გვერდის ინფორმაცია,,
,ka.activerecord.models.page_content.other,Page Contents,გვერდის ინფორმაცია,,
,ka.activerecord.models.place_invitation.one,Invitation,მოწვევა,,
,ka.activerecord.models.place_invitation.other,Invitations,მოწვევა,,
,ka.activerecord.models.place_rates.one,rate,შეფასება,,
,ka.activerecord.models.place_service.one,Service,მომსახურება,,
,ka.activerecord.models.place_service.other,Services,მომსახურება,,
,ka.activerecord.models.page_content_item.one,List Item,ჩამონათვალი,,
,ka.activerecord.models.page_content_item.other,List Items,ჩამონათვალი,,
,ka.activerecord.models.tag.declined,(Declined),(უარყოფა),,
,ka.activerecord.models.resource.one,Resource,რესურსი,,
,ka.activerecord.models.resource.other,Topic,თემა,,
,ka.activerecord.models.resource_item.one,Chapter,საკითხი,,
,ka.activerecord.models.resource_item.other,Chapters,საკითხები,,
,ka.activerecord.models.resource_content.one,Resource Content,რესურსის  აღწერა,,
,ka.activerecord.models.resource_content.other,Resource Contents,რესურსის აღწერა,,
,ka.activerecord.attributes.provider.name,Provider Name,მომსახურების მიმწოდებლის დასახელება,ორგანიზაციის დასახელება,
,ka.activerecord.attributes.provider.description,Provider Description,მოსახურების მიმწოდებლის აღწერა ,ორგანიზაციის აღწერა,
,ka.activerecord.attributes.providers.name,Provider Name,მომსახურების მიმწოდებლის დასახელება,ორგანიზაციის დასახელება,
,ka.activerecord.attributes.providers.description,Provider Description,მომსახურების მიმწოდებლის დასახელება,ორგანიზაციის აღწერა,
,ka.activerecord.attributes.service.name,Service Name,მომსახურების  დასახელება,,
,ka.activerecord.attributes.service.description,Service Description,მომსახურების  აღწერა,,
,ka.activerecord.attributes.service.icon,Service Icon,მოსახურების სიმბოლო,,
,ka.activerecord.attributes.service.color,Service Color,მომსახურების  ფერი,,
,ka.activerecord.attributes.service.for_adults,For Adults,ზრდასრულთათვის,,
,ka.activerecord.attributes.service.for_children,For Children,ბავშვებისთვის,,
,ka.activerecord.attributes.service.parent,Parent Service,ძირითადი მომსახურება ,,
,ka.activerecord.attributes.service.sub_services,Services,მომსახურებები,,
,ka.activerecord.attributes.service.position,Position,პოზიცია ,,
,ka.activerecord.attributes.page_content.title,Title,სათაური,,
,ka.activerecord.attributes.page_content.content,Content,შინაარსი,,
,ka.activerecord.attributes.user.first_name,First Name,სახელი,,
,ka.activerecord.attributes.user.last_name,Last Name,გვარი,,
,ka.activerecord.attributes.user.name,Name,სახელი,,
,ka.activerecord.attributes.user.password,Password,პაროლი,,
,ka.activerecord.attributes.user.username,Username,მომხმარებლის სახელი,,
,ka.activerecord.attributes.user.email,Email,ელ.ფოსტა,,
,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,პაროლის დადასტურება,,
,ka.activerecord.attributes.user.is_service_provider,ublish your organization's services on Sheaghe,გსურთ სერვისის გასაჯაროება?,,
,ka.activerecord.attributes.user.roles.user,User,მომხმარებელი,,
,ka.activerecord.attributes.user.roles.provider,Organisation,ორგანიზაცია,,
,ka.activerecord.attributes.user.roles.admin,Admin,ადმინისტრატორი,,
,ka.activerecord.attributes.user.providers.one,Organisation,ორგანიზაცია,,
,ka.activerecord.attributes.user.providers.other,Organisations,ორგანიზაციები ,,
,ka.activerecord.attributes.place.name,Name,სახელი,,
,ka.activerecord.attributes.place.director,Director,ხელმძღვანელი,,
,ka.activerecord.attributes.place.description,Description,აღწერა,,
,ka.activerecord.attributes.place.services,Services,მომსახურებები,,
,ka.activerecord.attributes.place.email,Email,ელ.ფოსტა,,
,ka.activerecord.attributes.place.phone,Phone,ტელეფონი,,
,ka.activerecord.attributes.place.phone2,Phone 2,ტელეფონი 2,,
,ka.activerecord.attributes.place.website,Website,ვებ-გვერდი,,
,ka.activerecord.attributes.place.facebook,Facebook,Facebook,,
,ka.activerecord.attributes.place.address,Address,მისამართი,,
,ka.activerecord.attributes.place.city,City,ქალაქი,,
,ka.activerecord.attributes.place.postal_code,Postal Code,საფოსტო ინდექსი,,
,ka.activerecord.attributes.place.region,Region,რეგიონი,,
,ka.activerecord.attributes.place.municipality,Municipality,მუნიციპალიტეტი,,
,ka.activerecord.attributes.place.tags,Tags,კატეგორია,,
,ka.activerecord.attributes.place.provider,Provider,სერვისის მიმწოდებელი,,
,ka.activerecord.attributes.place_invitation.place,Organisation ,ორგანიზაცია,,
,ka.activerecord.attributes.place_invitation.user,User,მომხმარებელი,,
,ka.activerecord.attributes.place_invitation.sent_by,Sent By,გამომგზავნი,,
,ka.activerecord.attributes.place_invitation.has_accepted,Has Accepted?,დადასტურებულია?,,
,ka.activerecord.attributes.place_invitation.email,Email,ელ.ფოსტა,,
,ka.activerecord.attributes.place_invitation.created_at,Date Sent,გაგზავნის თარიღი,,
,ka.activerecord.attributes.place_service.place,Organisation,ორგანიზაცია,,
,ka.activerecord.attributes.place_service.service,Service,მომსახურება,,
,ka.activerecord.attributes.place_service.is_restricited_geographic_area,Service is available to persons in all regions of Georgia,მომსახურება მიეწოდება ნებისმიერ გეოგრაფიულ არეალში მცხოვრებ პირს,,
,ka.activerecord.attributes.place_service.geographic_area_municipalities,Service is available to persons living in the following municipalitie/s,მომსახურება  მიეწოდება შემდეგ მუნიციპალიტეტში / ებში მცხოვრებ პირის,,
,ka.activerecord.attributes.place_service.service_type,Service type,მომსახურების ტიპი,,
,ka.activerecord.attributes.place_service.service_types.municipal,Municipality - funded service,მომსახურების ფინანსური მხარდამჭერია მუნიციპალიტეტი,,
,ka.activerecord.attributes.place_service.service_types.state,Central government - funded service,მომსახურების ფინანსური მხარდამჭერია ცენტრალური ხელისუფლება,,
,ka.activerecord.attributes.place_service.service_types.private_org,Private service (not supported by local or central government),მომსახურება კერძოა,,
,ka.activerecord.attributes.place_service.act_regulating_service,"The name of the Administrative Act, Program / Sub-program, regulating the service","სამართლებრივი აქტის და პროგრამის სახელწოდება, რომლის საფუძველზეც მოქმედებს მოსახურება ",,
,ka.activerecord.attributes.place_service.act_link,The Link to the Act,სამართლებრივი აქტის ბმული,,
,ka.activerecord.attributes.place_service.description,Short description of the service,მომსახურების მოკლე აღწერა,,
,ka.activerecord.attributes.place_service.has_age_restriction,Service is available to persons of all ages,მომსახურება განკუთვნილია ნებისმიერი ასაკობრივი ჯგუფისთვის ,,
